date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,-1,-5,0.0,8.7,2,72,01:55 PM,03:36 AM,07:14 AM,04:22 PM,-15,-9,-3,-9,30,27,39,0.0,1016,-1,10,235,20,"boston,ma"
2015-01-02,4,-2,0.0,6.9,1,80,02:40 PM,04:36 AM,07:14 AM,04:23 PM,-7,-4,1,-4,30,25,58,0.0,1020,4,10,265,19,"boston,ma"
2015-01-03,-1,-4,0.0,5.2,1,87,03:31 PM,05:32 AM,07:14 AM,04:24 PM,-8,-5,-1,-5,16,67,62,1.4,1035,-1,10,148,11,"boston,ma"
2015-01-04,7,2,0.0,3.4,1,94,04:23 PM,06:21 AM,07:14 AM,04:25 PM,4,2,5,2,25,95,97,7.8,1011,7,6,156,13,"boston,ma"
2015-01-05,2,-9,0.0,5.2,1,100,05:19 PM,07:06 AM,07:14 AM,04:26 PM,-8,-8,-1,-8,45,25,64,0.1,1015,2,9,286,30,"boston,ma"
2015-01-06,-8,-9,0.2,3.4,1,100,06:16 PM,07:46 AM,07:14 AM,04:27 PM,-16,-12,-8,-12,13,73,55,0.2,1023,-8,9,263,10,"boston,ma"
2015-01-07,-5,-14,0.0,8.7,1,84,07:14 PM,08:21 AM,07:14 AM,04:28 PM,-13,-16,-9,-16,31,44,70,0.3,1013,-5,9,271,21,"boston,ma"
2015-01-08,-9,-19,0.0,8.7,2,77,08:10 PM,08:53 AM,07:13 AM,04:29 PM,-19,-22,-13,-22,28,18,61,0.0,1024,-9,10,263,19,"boston,ma"
2015-01-09,-3,-8,0.0,6.9,1,69,09:07 PM,09:23 AM,07:13 AM,04:30 PM,-9,-11,-5,-11,32,54,75,0.4,1016,-3,9,239,20,"boston,ma"
2015-01-10,-6,-9,0.0,8.7,2,62,10:04 PM,09:51 AM,07:13 AM,04:31 PM,-12,-13,-7,-13,24,7,69,0.0,1027,-6,10,267,16,"boston,ma"
2015-01-11,-3,-10,0.0,8.7,2,55,11:01 PM,10:19 AM,07:13 AM,04:32 PM,-11,-11,-6,-11,20,19,68,0.0,1035,-3,10,234,13,"boston,ma"
2015-01-12,1,-1,0.0,3.5,1,48,11:59 PM,10:47 AM,07:12 AM,04:33 PM,-1,-3,1,-3,22,81,89,3.0,1025,1,9,253,13,"boston,ma"
2015-01-13,-6,-8,0.0,8.7,2,40,No moonrise,11:18 AM,07:12 AM,04:34 PM,-9,-11,-5,-11,25,7,75,0.0,1033,-6,10,303,18,"boston,ma"
2015-01-14,-4,-8,0.1,3.5,1,33,12:58 AM,11:51 AM,07:12 AM,04:35 PM,-9,-11,-6,-11,16,85,76,0.1,1030,-4,10,299,12,"boston,ma"
2015-01-15,-2,-4,0.1,3.5,1,26,01:59 AM,12:28 PM,07:11 AM,04:36 PM,-6,-7,-3,-7,16,83,79,0.1,1016,-2,9,310,11,"boston,ma"
2015-01-16,2,-8,0.0,7.0,1,19,03:01 AM,01:12 PM,07:11 AM,04:38 PM,-10,-8,-3,-8,25,25,59,0.0,1010,2,9,272,18,"boston,ma"
2015-01-17,-6,-13,0.0,8.7,2,11,04:02 AM,02:03 PM,07:10 AM,04:39 PM,-19,-13,-8,-13,16,10,43,0.0,1026,-6,10,267,12,"boston,ma"
2015-01-18,7,-6,0.0,3.5,1,4,05:01 AM,03:01 PM,07:10 AM,04:40 PM,2,-1,3,-1,28,84,94,7.4,1016,7,8,171,14,"boston,ma"
2015-01-19,5,-1,0.0,8.7,1,0,05:57 AM,04:07 PM,07:09 AM,04:41 PM,0,-1,2,-1,24,34,88,0.0,1004,5,9,267,14,"boston,ma"
2015-01-20,3,-2,0.0,8.7,1,0,06:47 AM,05:18 PM,07:08 AM,04:43 PM,-6,-4,-0,-4,19,24,64,0.0,1010,3,10,269,13,"boston,ma"
2015-01-21,-1,-5,0.0,8.7,2,3,07:33 AM,06:31 PM,07:08 AM,04:44 PM,-10,-4,-2,-4,9,32,54,0.0,1021,-1,10,180,7,"boston,ma"
2015-01-22,3,-2,0.1,8.7,2,10,08:13 AM,07:45 PM,07:07 AM,04:45 PM,-4,-2,0,-2,12,53,71,0.1,1022,3,10,118,8,"boston,ma"
2015-01-23,2,-4,0.0,8.7,2,18,08:51 AM,08:58 PM,07:06 AM,04:46 PM,-7,-3,-0,-3,13,6,62,0.0,1021,2,10,265,10,"boston,ma"
2015-01-24,0,-1,3.2,3.5,1,25,09:27 AM,10:09 PM,07:05 AM,04:48 PM,-1,-4,0,-4,19,86,91,8.9,999,0,6,171,13,"boston,ma"
2015-01-25,1,-7,0.0,5.3,1,32,10:02 AM,11:19 PM,07:05 AM,04:49 PM,-3,-6,-2,-6,24,41,92,0.0,1004,1,9,287,14,"boston,ma"
2015-01-26,-3,-11,0.6,3.5,1,39,10:37 AM,No moonset,07:04 AM,04:50 PM,-7,-12,-6,-12,26,85,89,4.6,1018,-3,8,113,18,"boston,ma"
