,MAURN,year,month
0,6.900,2012,7
1,6.600,2012,8
2,6.600,2012,9
3,6.200,2012,10
4,6.3,2012,11
5,6.6,2012,12
6,7.600,2013,1
7,7.200,2013,2
8,7.0,2013,3
9,6.5,2013,4
10,6.7,2013,5
11,7.2,2013,6
12,7.1,2013,7
13,6.600,2013,8
14,6.6,2013,9
15,6.200,2013,10
16,6.0,2013,11
17,5.9,2013,12
18,6.8,2014,1
19,6.6,2014,2
20,6.3,2014,3
21,5.500,2014,4
22,5.7,2014,5
23,5.9,2014,6
24,6.1,2014,7
25,5.700,2014,8
26,5.5,2014,9
27,5.0,2014,10
28,5.0,2014,11
29,4.9,2014,12
30,5.8,2015,1
31,5.5,2015,2
32,5.2,2015,3
33,4.6,2015,4
34,4.9,2015,5
35,5.1,2015,6
36,5.1,2015,7
37,4.6,2015,8
38,4.6,2015,9
39,4.2,2015,10
40,4.1,2015,11
41,4.1,2015,12
42,4.8,2016,1
43,4.6,2016,2
44,4.3,2016,3
45,3.8,2016,4
46,3.7,2016,5
47,4.0,2016,6
48,4.0,2016,7
49,3.6,2016,8
50,3.6,2016,9
51,3.3,2016,10
52,3.3,2016,11
53,3.4,2016,12
54,4.4,2017,1
55,4.3,2017,2
56,4.0,2017,3
57,3.5,2017,4
58,3.7,2017,5
59,4.0,2017,6
60,4.0,2017,7
61,3.7,2017,8
62,3.6,2017,9
63,3.2,2017,10
64,3.2,2017,11
65,3.3,2017,12
66,4.1,2018,1
67,4.0,2018,2
68,3.7,2018,3
69,3.2,2018,4
70,3.3,2018,5
71,3.7,2018,6
72,3.6,2018,7
73,3.2,2018,8
74,3.1,2018,9
75,2.8,2018,10
76,2.7,2018,11
77,2.8,2018,12
78,3.7,2019,1
79,3.4,2019,2
80,3.3,2019,3
81,2.7,2019,4
82,2.9,2019,5
83,3.1,2019,6
84,3.1,2019,7
85,2.8,2019,8
86,2.7,2019,9
87,2.4,2019,10
88,2.3,2019,11
89,2.4,2019,12
90,3.4,2020,1
91,3.3,2020,2
92,3.0,2020,3
93,16.0,2020,4
94,16.5,2020,5
95,17.8,2020,6
96,16.3,2020,7
97,11.2,2020,8
98,9.7,2020,9
99,6.9,2020,10
